Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5
1,-3.03,-1.41,-1.41,-1.41,-1.45
2,-7.1,-3.06,-3.26,-4.0,-4.04
3,-13.22,-5.08,-9.05,-5.01,-9.09
4,-14.06,-6.29,-10.19,-6.29,-13.06
5,-16.08,-7.13,-11.03,-9.09,-14.16
6,-17.19,-8.21,-12.21,-11.03,-15.07
7,-18.07,-9.08,-13.05,-12.21,-18.04
α,1.556e-06,1.437e-06,2.771e-06,0.106,1.318e-05
C,5.213e+06,2.618e+06,2.040e+06,40.185,5.457e+05
Young's Modulus,8.844,4.100,6.162,4.701,7.839
Time (ms),16478,8873,9147,10762,14717
