Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5
1,-1.08,-2.09,-2.02,-1.62,-1.08
2,-1.58,-2.59,-3.06,-2.09,-2.09
3,-2.09,-3.06,-3.53,-2.59,-2.59
4,-2.59,-3.6,-4.57,-3.06,-3.09
5,-6.63,-4.1,-5.11,-3.6,-3.57
6,-10.6,-4.57,-5.58,-4.1,-4.57
7,-11.55,-6.13,-6.13,-4.57,-6.12
α,0.763,2.110e-06,1.151e-06,1.153e-06,0.101
C,2.407,1.111e+06,2.324e+06,1.676e+06,19.588
Young's Modulus,2.302,2.554,2.915,2.107,2.178
Time (ms),24538,11860,15061,13806,14258
