Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5
1,-1.55,-1.01,-1.04,-3.03,-1.04
2,-2.05,-3.03,-4.01,-12.01,-1.58
3,-2.59,-12.55,-6.56,-13.05,-2.05
4,-3.03,-13.52,-7.06,-13.56,-2.59
5,-3.57,-16.05,-7.57,-14.03,-3.06
6,-4.07,-16.53,-9.56,-14.53,-7.1
7,-4.54,-17.02,-14.0,-16.52,-9.52
α,1.105e-06,4.298e-06,0.172,1.895e-06,0.957
C,1.734e+06,1.765e+06,23.831,3.998e+06,1.152
Young's Modulus,2.089,8.269,4.523,8.258,1.463
Time (ms),9336,17479,14986,18716,14448
