Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5
1,-1.25,-1.18,-1.14,-1.14,-1.18
2,-1.55,-1.55,-1.55,-1.52,-1.48
3,-4.57,-2.05,-2.05,-3.03,-4.04
4,-7.64,-3.6,-3.03,-4.51,-5.55
5,-9.12,-5.55,-5.08,-5.55,-7.1
6,-9.59,-7.6,-6.06,-6.12,-9.08
7,0.0,-13.05,-6.59,-6.56,-10.06
α,0.257,1.030,0.240,1.035e-05,0.219
C,14.255,1.296,8.311,2.617e+05,14.197
Young's Modulus,4.105,1.809,2.230,2.953,3.454
Time (ms),44898,40389,13065,17933,16573
